rank,name,price,1h_change,24h_change,7d_change,market_cap,volume_24h,circulating_supply,page
46,EthenaENA,$0.2163,0.24%,3.01%,6.32%,"$1.72B$1,721,962,724","$95,394,533441.15M",7.95B ENA,1
47,PiPI,$0.2037,0.01%,0.74%,2.40%,"$1.71B$1,708,316,195","$7,070,67634.69M",8.38B PI,1
48,Global DollarUSDG,$0.9997,0.00%,0.00%,0.01%,"$1.59B$1,588,087,959","$10,391,73510.39M",1.58B USDG,1
49,KuCoin TokenKCS,$11.48,0.01%,0.45%,5.84%,"$1.52B$1,518,376,224","$2,062,275179.49K",132.15M KCS,1
50,Polygon (prev. MATIC)POL,$0.1421,0.15%,4.23%,17.30%,"$1.5B$1,501,266,320","$82,188,087578.92M",10.56B POL,1
51,WorldcoinWLD,$0.5427,0.09%,2.72%,6.06%,"$1.48B$1,484,409,577","$69,642,057128.47M",2.73B WLD,1
52,SkySKY,$0.06444,0.51%,0.40%,9.14%,"$1.48B$1,479,638,145","$12,487,303193.84M",22.95B SKY,1
53,AptosAPT,$1.81,0.07%,2.50%,0.93%,"$1.39B$1,389,001,152","$69,000,65037.93M",763.94M APT,1
54,Ripple USDRLUSD,$0.9997,0.00%,0.00%,0.01%,"$1.34B$1,335,757,864","$21,702,38021.70M",1.33B RLUSD,1
55,MYX FinanceMYX,$5.10,0.76%,0.54%,1.09%,"$1.28B$1,284,914,361","$11,441,3492.23M",251.47M MYX,1
56,ArbitrumARB,$0.2146,0.45%,0.70%,3.09%,"$1.25B$1,250,928,792","$105,542,090491.98M",5.82B ARB,1
57,CosmosATOM,$2.50,0.27%,2.60%,3.90%,"$1.23B$1,225,532,989","$51,057,36220.35M",488.47M ATOM,1
58,OndoONDO,$0.3817,0.48%,1.75%,4.99%,"$1.21B$1,206,093,023","$53,046,373139.17M",3.15B ONDO,1
59,KaspaKAS,$0.04403,0.09%,1.61%,6.60%,"$1.19B$1,194,238,777","$15,037,893341.04M",27.12B KAS,1
60,GateTokenGT,$10.34,0.44%,0.63%,0.32%,"$1.19B$1,191,658,358","$1,899,205183.27K",115.18M GT,1
61,AlgorandALGO,$0.1286,0.04%,3.56%,4.70%,"$1.14B$1,139,119,327","$31,160,148242.15M",8.85B ALGO,1
62,RenderRENDER,$2.17,0.81%,2.12%,6.64%,"$1.13B$1,128,083,548","$38,355,67217.63M",518.67M RENDER,1
63,FilecoinFIL,$1.52,0.09%,2.61%,2.63%,"$1.13B$1,125,776,489","$116,830,41576.59M",737.75M FIL,1
64,USDDUSDD,$0.9995,0.01%,0.06%,0.11%,"$1.12B$1,121,756,747","$1,970,9821.97M",1.12B USDD,1
65,OFFICIAL TRUMPTRUMP,$5.26,0.06%,2.17%,3.73%,"$1.05B$1,052,559,887","$158,037,35630.03M",199.99M TRUMP,1
66,MidnightNIGHT,$0.06171,0.73%,1.24%,13.53%,"$1.02B$1,024,956,657","$13,458,552218.01M",16.6B NIGHT,1
67,VeChainVET,$0.01164,0.03%,3.20%,0.92%,"$1B$1,001,082,507","$20,944,6721.80B",85.98B VET,1
68,DashDASH,$78.88,2.82%,2.14%,110.42%,"$990.54M$990,537,702","$506,123,9636.37M",12.55M DASH,1
69,QuantQNT,$80.80,0.14%,5.15%,6.58%,"$975.54M$975,544,372","$32,003,950396.80K",12.07M QNT,1
70,Pump.funPUMP,$0.002745,0.09%,9.88%,12.22%,"$971.99M$971,986,832","$173,596,89063.22B",354B PUMP,1
71,StoryIP,$2.68,2.31%,0.53%,29.61%,"$934.78M$934,775,669","$249,663,14892.96M",348.67M IP,1
72,BonkBONK,$0.00001033,0.13%,2.68%,3.29%,"$909.46M$909,458,411","$67,630,3246.54T",87.99T BONK,1
73,FlareFLR,$0.01090,0.03%,0.45%,2.40%,"$904.36M$904,363,179","$4,374,862401.09M",82.92B FLR,1
74,XDC NetworkXDC,$0.04328,0.02%,1.51%,10.52%,"$826.06M$826,059,778","$17,612,519407.00M",19.08B XDC,1
75,SeiSEI,$0.1199,0.02%,0.95%,1.29%,"$793.08M$793,077,951","$31,062,524259.17M",6.61B SEI,1
76,Pudgy PenguinsPENGU,$0.01171,0.13%,2.24%,3.69%,"$736.27M$736,273,213","$85,021,8357.26B",62.86B PENGU,1
77,PancakeSwapCAKE,$2.06,0.19%,3.31%,1.35%,"$712.56M$712,560,795","$47,448,96722.90M",344.29M CAKE,1
78,JupiterJUP,$0.2204,0.65%,2.19%,3.61%,"$703.17M$703,168,388","$18,444,71383.78M",3.19B JUP,1
79,OptimismOP,$0.3402,0.38%,3.23%,6.14%,"$661.41M$661,408,795","$70,932,526208.48M",1.94B OP,1
80,StacksSTX,$0.3605,0.15%,2.61%,5.13%,"$654.2M$654,203,304","$10,552,29329.33M",1.81B STX,1
81,TezosXTZ,$0.6056,0.92%,2.54%,5.12%,"$649.48M$649,484,627","$45,203,29674.67M",1.07B XTZ,1
82,ChilizCHZ,$0.06255,0.89%,4.86%,29.70%,"$639.57M$639,571,186","$204,876,4073.26B",10.22B CHZ,1
83,NexoNEXO,$0.9904,0.05%,0.82%,3.04%,"$639.99M$639,988,926","$5,291,3365.34M",646.14M NEXO,1
84,Artificial Superintelligence AllianceFET,$0.2736,0.07%,2.59%,3.29%,"$630.04M$630,044,655","$39,661,418144.94M",2.3B FET,1
85,Curve DAO TokenCRV,$0.4206,0.25%,4.02%,3.79%,"$612.68M$612,682,353","$79,529,034189.06M",1.45B CRV,1
86,Virtuals ProtocolVIRTUAL,$0.9252,0.43%,5.65%,14.36%,"$607.08M$607,076,926","$57,145,64361.79M",656.15M VIRTUAL,1
87,United StablesU,$0.9995,0.00%,0.00%,0.09%,"$574.64M$574,644,767","$7,372,7447.37M",574.9M U,1
88,ImmutableIMX,$0.2887,0.46%,2.01%,6.14%,"$574.27M$574,272,765","$43,070,089149.36M",1.98B IMX,1
89,InjectiveINJ,$5.19,0.04%,4.73%,1.14%,"$519.81M$519,810,100","$41,940,1048.06M",99.97M INJ,1
90,ether.fiETHFI,$0.7343,0.30%,2.84%,2.62%,"$513.64M$513,640,272","$25,755,56835.15M",699.46M ETHFI,1
91,Lido DAOLDO,$0.6048,0.01%,0.74%,5.37%,"$512.01M$512,011,478","$26,827,02644.35M",846.56M LDO,1
92,SPX6900SPX,$0.5495,0.11%,3.52%,7.21%,"$511.61M$511,612,404","$6,141,15311.18M",930.99M SPX,1
93,First Digital USDFDUSD,$0.9992,0.01%,0.02%,0.05%,"$503.28M$503,276,451","$1,479,565,6741.48B",503.64M FDUSD,1
94,MorphoMORPHO,$1.32,0.32%,0.06%,2.67%,"$502.6M$502,604,916","$9,369,0107.06M",378.41M MORPHO,1
95,Aerodrome FinanceAERO,$0.5477,0.03%,2.57%,0.97%,"$500.59M$500,591,601","$13,362,56424.41M",913.96M AERO,1
96,TrueUSDTUSD,$0.9992,0.03%,0.03%,0.19%,"$494.14M$494,144,496","$9,053,2639.06M",494.51M TUSD,1
97,LighterLIT,$1.97,0.36%,3.08%,25.24%,"$492.93M$492,927,509","$56,637,08428.71M",250M LIT,1
98,CelestiaTIA,$0.5649,0.01%,3.87%,1.26%,"$490.67M$490,673,446","$30,243,54453.38M",868.48M TIA,1
99,LayerZeroZRO,$1.72,0.24%,4.10%,15.86%,"$472.66M$472,664,143","$45,575,78126.44M",274.24M ZRO,1
100,FLOKIFLOKI,$0.00004875,0.20%,4.50%,6.83%,"$465.08M$465,082,288","$36,372,479745.51B",9.53T FLOKI,1
101,The GraphGRT,$0.04249,0.10%,4.74%,1.77%,"$454.3M$454,304,418","$26,137,157614.29M",10.69B GRT,2
102,DoubleZero2Z,$0.1294,1.03%,4.16%,9.52%,"$449.38M$449,377,974","$12,569,47097.01M",3.47B 2Z,2
103,StarknetSTRK,$0.08471,0.81%,3.02%,3.23%,"$441.04M$441,041,127","$28,051,353331.18M",5.2B STRK,2
104,ABAB,$0.004369,0.20%,0.32%,2.11%,"$423M$423,001,423","$7,917,1401.81B",96.8B AB,2
105,Humanity ProtocolH,$0.1815,0.27%,5.14%,7.92%,"$418.46M$418,457,278","$29,025,955159.76M",2.3B H,2
106,BitTorrent [New]BTT,$0.064189,0.06%,0.12%,0.37%,"$413.16M$413,156,873","$8,857,08321.13T",986.06T BTT,2
107,Maple FinanceSYRUP,$0.3568,0.31%,2.04%,9.97%,"$410.42M$410,420,572","$13,874,89038.88M",1.15B SYRUP,2
108,The SandboxSAND,$0.1535,1.03%,10.35%,27.83%,"$409.52M$409,523,984","$382,667,8622.49B",2.66B SAND,2
109,ConfluxCFX,$0.07860,0.55%,0.33%,2.27%,"$406.7M$406,702,155","$20,117,127255.94M",5.17B CFX,2
110,Trust Wallet TokenTWT,$0.9451,0.58%,0.49%,5.61%,"$406.3M$406,295,529","$10,999,33011.63M",429.86M TWT,2
111,JasmyCoinJASMY,$0.008211,0.06%,1.57%,8.35%,"$405.99M$405,994,940","$23,521,9302.86B",49.44B JASMY,2
112,Sun [New]SUN,$0.02107,0.22%,1.63%,2.04%,"$404.61M$404,610,812","$17,956,232852.08M",19.2B SUN,2
113,DecredDCR,$23.05,0.58%,0.03%,47.67%,"$397.19M$397,185,519","$6,481,455281.17K",17.23M DCR,2
114,IOTAIOTA,$0.09351,0.29%,1.63%,7.49%,"$396.6M$396,598,721","$10,270,344109.82M",4.24B IOTA,2
